linea 1 la orden de produccion OC-8007	 con rangos 184106 y 184106 se recopilan 0 series de 1 de la orden con modelo PCGHIA-1581 20/12/2012
linea 2 la orden de produccion OC-8008	 con rangos 184186 y 184107 se recopilan 0 series de 80 de la orden con modelo PCGHIA-1579 20/12/2012
linea 3 la orden de produccion DF-1281	 con rangos 184285 y 184285 se recopilan 0 series de 1 de la orden con modelo PCGHIA-1530 21/12/2012
linea 4 la orden de produccion DF-1282	 con rangos 184309 y 184308 se recopilan 0 series de 2 de la orden con modelo PCGHIA-1476 21/12/2012
linea 5 la orden de produccion DF-1283	 con rangos 184325 y 184324 se recopilan 0 series de 2 de la orden con modelo PCGHIA-1499 21/12/2012
linea 6 la orden de produccion DF-1284	 con rangos 184190 y 184190 se recopilan 0 series de 1 de la orden con modelo PCGHIA-1503 21/12/2012
linea 7 la orden de produccion OC-7968	 con rangos 184188 y 184187 se recopilan 0 series de 2 de la orden con modelo PCGHIA-1503 21/12/2012
linea 8 la orden de produccion OC-7986	 con rangos 184189 y 184189 se recopilan 0 series de 1 de la orden con modelo PCGHIA-1503 21/12/2012
linea 9 la orden de produccion OC-7988	 con rangos 184284 y 184228 se recopilan 0 series de 57 de la orden con modelo PCGHIA-1530 21/12/2012
linea 10 la orden de produccion OC-7989	 con rangos 184303 y 184290 se recopilan 0 series de 14 de la orden con modelo PCGHIA-1476 21/12/2012
linea 11 la orden de produccion OC-7990	 con rangos 184317 y 184310 se recopilan 0 series de 8 de la orden con modelo PCGHIA-1359 21/12/2012
linea 12 la orden de produccion OC-7991	 con rangos 184332 y 184326 se recopilan 0 series de 7 de la orden con modelo PCGHIA-1480 21/12/2012
linea 13 la orden de produccion OC-7992	 con rangos 184323 y 184318 se recopilan 0 series de 6 de la orden con modelo PCGHIA-1499 21/12/2012
linea 14 la orden de produccion OC-7993	 con rangos 184334 y 184333 se recopilan 0 series de 2 de la orden con modelo PCGHIA-1496 21/12/2012
linea 15 la orden de produccion OC-7995	 con rangos 184307 y 184304 se recopilan 0 series de 4 de la orden con modelo PCGHIA-1476 21/12/2012
linea 16 la orden de produccion DF-1285	 con rangos 184392 y 184335 se recopilan 0 series de 58 de la orden con modelo PCGHIA-1359 22/12/2012
linea 17 la orden de produccion OC-8000	 con rangos 184227 y 184191 se recopilan 0 series de 37 de la orden con modelo PCGHIA-1484 22/12/2012
linea 18 la orden de produccion OC-8010	 con rangos 184426 y 184425 se recopilan 0 series de 2 de la orden con modelo PCGHIA-1503 24/12/2012
linea 19 la orden de produccion OC-8011	 con rangos 184433 y 184427 se recopilan 0 series de 7 de la orden con modelo PCGHIA-1537 24/12/2012
linea 20 la orden de produccion OC-8014	 con rangos 184400 y 184393 se recopilan 0 series de 8 de la orden con modelo PCGHIA-1485 24/12/2012
linea 21 la orden de produccion OC-8016	 con rangos 184424 y 184401 se recopilan 0 series de 24 de la orden con modelo PCGHIA-1359 24/12/2012
linea 22 la orden de produccion DF-1286	 con rangos 184471 y 184461 se recopilan 0 series de 11 de la orden con modelo PCGHIA-1499 26/12/2012
linea 23 la orden de produccion DF-1287	 con rangos 184501 y 184487 se recopilan 0 series de 15 de la orden con modelo PCGHIA-1480 26/12/2012
linea 24 la orden de produccion DF-1288	 con rangos 184531 y 184518 se recopilan 0 series de 14 de la orden con modelo PCGHIA-1476 26/12/2012
linea 25 la orden de produccion DF-1291	 con rangos 184438 y 184437 se recopilan 0 series de 2 de la orden con modelo PCGHIA-1486 26/12/2012
linea 26 la orden de produccion OC-8012	 con rangos 184436 y 184434 se recopilan 0 series de 3 de la orden con modelo PCGHIA-1538 26/12/2012
linea 27 la orden de produccion OC-8013	 con rangos 184439 y 184439 se recopilan 0 series de 1 de la orden con modelo PCGHIA-1486 26/12/2012
linea 28 la orden de produccion OC-8017	 con rangos 184460 y 184440 se recopilan 0 series de 21 de la orden con modelo PCGHIA-1499 26/12/2012
linea 29 la orden de produccion OC-8018	 con rangos 184486 y 184472 se recopilan 0 series de 15 de la orden con modelo PCGHIA-1480 26/12/2012
linea 30 la orden de produccion OC-8019	 con rangos 184517 y 184504 se recopilan 0 series de 14 de la orden con modelo PCGHIA-1476 26/12/2012
linea 31 la orden de produccion OC-8042	 con rangos 184503 y 184503 se recopilan 0 series de 1 de la orden con modelo PCGHIA-1582 26/12/2012
linea 32 la orden de produccion OC-8043	 con rangos 184502 y 184502 se recopilan 0 series de 1 de la orden con modelo PCGHIA-1524 26/12/2012
linea 33 la orden de produccion DF-1289	 con rangos 184628 y 184628 se recopilan 0 series de 1 de la orden con modelo PCGHIA-1503 27/12/2012
linea 34 la orden de produccion DF-1290	 con rangos 184736 y 184735 se recopilan 0 series de 2 de la orden con modelo PCGHIA-1538 27/12/2012
linea 35 la orden de produccion DF-1293	 con rangos 184543 y 184543 se recopilan 0 series de 1 de la orden con modelo PCGHIA-1533 27/12/2012
linea 36 la orden de produccion DF-1294	 con rangos 184567 y 184544 se recopilan 0 series de 24 de la orden con modelo PCGHIA-1484 27/12/2012
linea 37 la orden de produccion DF-1295	 con rangos 184587 y 184586 se recopilan 0 series de 2 de la orden con modelo PCGHIA-1496 27/12/2012
linea 38 la orden de produccion DF-1296	 con rangos 184591 y 184591 se recopilan 0 series de 1 de la orden con modelo PCGHIA-1540 27/12/2012
